State,County Name,"County Name, State",Value
TN,TIPTON COUNTY,"TN,TIPTON COUNTY","1,076"
MS,TISHOMINGO COUNTY,"MS,TISHOMINGO COUNTY","1,076"
MN,TODD COUNTY,"MN,TODD COUNTY","1,076"
CT,TOLLAND COUNTY,"CT,TOLLAND COUNTY","1,076"
NY,TOMPKINS COUNTY,"NY,TOMPKINS COUNTY","1,076"
UT,TOOELE COUNTY,"UT,TOOELE COUNTY","1,076"
GA,TOOMBS COUNTY,"GA,TOOMBS COUNTY","1,076"
ND,TOWNER COUNTY,"ND,TOWNER COUNTY","1,076"
GA,TOWNS COUNTY,"GA,TOWNS COUNTY","1,076"
ND,TRAILL COUNTY,"ND,TRAILL COUNTY","1,076"
MN,TRAVERSE COUNTY,"MN,TRAVERSE COUNTY","1,076"
KS,TREGO COUNTY,"KS,TREGO COUNTY","1,076"
WI,TREMPEALEAU COUNTY,"WI,TREMPEALEAU COUNTY","1,076"
GA,TREUTLEN COUNTY,"GA,TREUTLEN COUNTY","1,076"
KY,TRIGG COUNTY,"KY,TRIGG COUNTY","1,076"
KY,TRIMBLE COUNTY,"KY,TRIMBLE COUNTY","1,076"
GA,TROUP COUNTY,"GA,TROUP COUNTY","1,076"
TN,TROUSDALE COUNTY,"TN,TROUSDALE COUNTY","1,076"
OH,TRUMBULL COUNTY,"OH,TRUMBULL COUNTY","1,076"
OK,TULSA COUNTY,"OK,TULSA COUNTY","1,076"
GA,TURNER COUNTY,"GA,TURNER COUNTY","1,076"
AL,TUSCALOOSA COUNTY,"AL,TUSCALOOSA COUNTY","1,076"
MI,TUSCOLA COUNTY,"MI,TUSCOLA COUNTY","1,076"
GA,TWIGGS COUNTY,"GA,TWIGGS COUNTY","1,076"
ID,TWIN FALLS COUNTY,"ID,TWIN FALLS COUNTY","1,076"
UT,UINTAH COUNTY,"UT,UINTAH COUNTY","1,076"
NY,ULSTER COUNTY,"NY,ULSTER COUNTY","1,076"
OR,UMATILLA COUNTY,"OR,UMATILLA COUNTY","1,076"
TN,UNICOI COUNTY,"TN,UNICOI COUNTY","1,076"
AR,UNION COUNTY,"AR,UNION COUNTY","1,076"
GA,UNION COUNTY,"GA,UNION COUNTY","1,076"
IA,UNION COUNTY,"IA,UNION COUNTY","1,076"
IL,UNION COUNTY,"IL,UNION COUNTY","1,076"
KY,UNION COUNTY,"KY,UNION COUNTY","1,076"
NJ,UNION COUNTY,"NJ,UNION COUNTY","1,076"
OH,UNION COUNTY,"OH,UNION COUNTY","1,076"
OR,UNION COUNTY,"OR,UNION COUNTY","1,076"
TN,UNION COUNTY,"TN,UNION COUNTY","1,076"
GA,UPSON COUNTY,"GA,UPSON COUNTY","1,076"
UT,UTAH COUNTY,"UT,UTAH COUNTY","1,076"
AK,VALDEZ-CORDOVA CENSUS AREA,"AK,VALDEZ-CORDOVA CENSUS AREA","1,076"
ID,VALLEY COUNTY,"ID,VALLEY COUNTY","1,076"
MT,VALLEY COUNTY,"MT,VALLEY COUNTY","1,076"
AR,VAN BUREN COUNTY,"AR,VAN BUREN COUNTY","1,076"
IA,VAN BUREN COUNTY,"IA,VAN BUREN COUNTY","1,076"
MI,VAN BUREN COUNTY,"MI,VAN BUREN COUNTY","1,076"
TN,VAN BUREN COUNTY,"TN,VAN BUREN COUNTY","1,076"
OH,VAN WERT COUNTY,"OH,VAN WERT COUNTY","1,076"
IN,VANDERBURGH COUNTY,"IN,VANDERBURGH COUNTY","1,076"
IL,VERMILION COUNTY,"IL,VERMILION COUNTY","1,076"
IN,VERMILLION COUNTY,"IN,VERMILLION COUNTY","1,076"
MO,VERNON COUNTY,"MO,VERNON COUNTY","1,076"
WI,VERNON COUNTY,"WI,VERNON COUNTY","1,076"
IN,VIGO COUNTY,"IN,VIGO COUNTY","1,076"
WI,VILAS COUNTY,"WI,VILAS COUNTY","1,076"
VA,VIRGINIA BEACH CITY,"VA,VIRGINIA BEACH CITY","1,076"
FL,VOLUSIA COUNTY,"FL,VOLUSIA COUNTY","1,076"
IL,WABASH COUNTY,"IL,WABASH COUNTY","1,076"
MN,WABASHA COUNTY,"MN,WABASHA COUNTY","1,076"
KS,WABAUNSEE COUNTY,"KS,WABAUNSEE COUNTY","1,076"
MN,WADENA COUNTY,"MN,WADENA COUNTY","1,076"
OK,WAGONER COUNTY,"OK,WAGONER COUNTY","1,076"
WA,WAHKIAKUM COUNTY,"WA,WAHKIAKUM COUNTY","1,076"
ME,WALDO COUNTY,"ME,WALDO COUNTY","1,076"
AL,WALKER COUNTY,"AL,WALKER COUNTY","1,076"
GA,WALKER COUNTY,"GA,WALKER COUNTY","1,076"
WA,WALLA WALLA COUNTY,"WA,WALLA WALLA COUNTY","1,076"
OR,WALLOWA COUNTY,"OR,WALLOWA COUNTY","1,076"
ND,WALSH COUNTY,"ND,WALSH COUNTY","1,076"
GA,WALTON COUNTY,"GA,WALTON COUNTY","1,076"
WI,WALWORTH COUNTY,"WI,WALWORTH COUNTY","1,076"
IA,WAPELLO COUNTY,"IA,WAPELLO COUNTY","1,076"
ND,WARD COUNTY,"ND,WARD COUNTY","1,076"
GA,WARE COUNTY,"GA,WARE COUNTY","1,076"
GA,WARREN COUNTY,"GA,WARREN COUNTY","1,076"
IA,WARREN COUNTY,"IA,WARREN COUNTY","1,076"
IL,WARREN COUNTY,"IL,WARREN COUNTY","1,076"
IN,WARREN COUNTY,"IN,WARREN COUNTY","1,076"
KY,WARREN COUNTY,"KY,WARREN COUNTY","1,076"
MO,WARREN COUNTY,"MO,WARREN COUNTY","1,076"
NJ,WARREN COUNTY,"NJ,WARREN COUNTY","1,076"
OH,WARREN COUNTY,"OH,WARREN COUNTY","1,076"
TN,WARREN COUNTY,"TN,WARREN COUNTY","1,076"
IN,WARRICK COUNTY,"IN,WARRICK COUNTY","1,076"
OR,WASCO COUNTY,"OR,WASCO COUNTY","1,076"
MN,WASECA COUNTY,"MN,WASECA COUNTY","1,076"
WI,WASHBURN COUNTY,"WI,WASHBURN COUNTY","1,076"
AR,WASHINGTON COUNTY,"AR,WASHINGTON COUNTY","1,076"
CO,WASHINGTON COUNTY,"CO,WASHINGTON COUNTY","1,076"
GA,WASHINGTON COUNTY,"GA,WASHINGTON COUNTY","1,076"
IA,WASHINGTON COUNTY,"IA,WASHINGTON COUNTY","1,076"
ID,WASHINGTON COUNTY,"ID,WASHINGTON COUNTY","1,076"
IL,WASHINGTON COUNTY,"IL,WASHINGTON COUNTY","1,076"
IN,WASHINGTON COUNTY,"IN,WASHINGTON COUNTY","1,076"
KS,WASHINGTON COUNTY,"KS,WASHINGTON COUNTY","1,076"
KY,WASHINGTON COUNTY,"KY,WASHINGTON COUNTY","1,076"
ME,WASHINGTON COUNTY,"ME,WASHINGTON COUNTY","1,076"
MN,WASHINGTON COUNTY,"MN,WASHINGTON COUNTY","1,076"
MO,WASHINGTON COUNTY,"MO,WASHINGTON COUNTY","1,076"
NY,WASHINGTON COUNTY,"NY,WASHINGTON COUNTY","1,076"
OK,WASHINGTON COUNTY,"OK,WASHINGTON COUNTY","1,076"
OR,WASHINGTON COUNTY,"OR,WASHINGTON COUNTY","1,076"
PA,WASHINGTON COUNTY,"PA,WASHINGTON COUNTY","1,076"
RI,WASHINGTON COUNTY,"RI,WASHINGTON COUNTY","1,076"
TN,WASHINGTON COUNTY,"TN,WASHINGTON COUNTY","1,076"
UT,WASHINGTON COUNTY,"UT,WASHINGTON COUNTY","1,076"
VT,WASHINGTON COUNTY,"VT,WASHINGTON COUNTY","1,076"
WI,WASHINGTON COUNTY,"WI,WASHINGTON COUNTY","1,076"
OK,WASHITA COUNTY,"OK,WASHITA COUNTY","1,076"
NV,WASHOE COUNTY,"NV,WASHOE COUNTY","1,076"
MI,WASHTENAW COUNTY,"MI,WASHTENAW COUNTY","1,076"
MN,WATONWAN COUNTY,"MN,WATONWAN COUNTY","1,076"
WI,WAUKESHA COUNTY,"WI,WAUKESHA COUNTY","1,076"
WI,WAUPACA COUNTY,"WI,WAUPACA COUNTY","1,076"
WI,WAUSHARA COUNTY,"WI,WAUSHARA COUNTY","1,076"
GA,WAYNE COUNTY,"GA,WAYNE COUNTY","1,076"
IA,WAYNE COUNTY,"IA,WAYNE COUNTY","1,076"
IL,WAYNE COUNTY,"IL,WAYNE COUNTY","1,076"
IN,WAYNE COUNTY,"IN,WAYNE COUNTY","1,076"
MI,WAYNE COUNTY,"MI,WAYNE COUNTY","1,076"
MO,WAYNE COUNTY,"MO,WAYNE COUNTY","1,076"
NY,WAYNE COUNTY,"NY,WAYNE COUNTY","1,076"
OH,WAYNE COUNTY,"OH,WAYNE COUNTY","1,076"
PA,WAYNE COUNTY,"PA,WAYNE COUNTY","1,076"
TN,WAYNE COUNTY,"TN,WAYNE COUNTY","1,076"
TN,WEAKLEY COUNTY,"TN,WEAKLEY COUNTY","1,076"
UT,WEBER COUNTY,"UT,WEBER COUNTY","1,076"
GA,WEBSTER COUNTY,"GA,WEBSTER COUNTY","1,076"
IA,WEBSTER COUNTY,"IA,WEBSTER COUNTY","1,076"
MO,WEBSTER COUNTY,"MO,WEBSTER COUNTY","1,076"
CO,WELD COUNTY,"CO,WELD COUNTY","1,076"
IN,WELLS COUNTY,"IN,WELLS COUNTY","1,076"
ND,WELLS COUNTY,"ND,WELLS COUNTY","1,076"
NY,WESTCHESTER COUNTY,"NY,WESTCHESTER COUNTY","1,076"
PA,WESTMORELAND COUNTY,"PA,WESTMORELAND COUNTY","1,076"
MI,WEXFORD COUNTY,"MI,WEXFORD COUNTY","1,076"
TX,WHARTON COUNTY,"TX,WHARTON COUNTY","1,076"
WA,WHATCOM COUNTY,"WA,WHATCOM COUNTY","1,076"
GA,WHEELER COUNTY,"GA,WHEELER COUNTY","1,076"
OR,WHEELER COUNTY,"OR,WHEELER COUNTY","1,076"
AR,WHITE COUNTY,"AR,WHITE COUNTY","1,076"
GA,WHITE COUNTY,"GA,WHITE COUNTY","1,076"
IL,WHITE COUNTY,"IL,WHITE COUNTY","1,076"
IN,WHITE COUNTY,"IN,WHITE COUNTY","1,076"
TN,WHITE COUNTY,"TN,WHITE COUNTY","1,076"
NV,WHITE PINE COUNTY,"NV,WHITE PINE COUNTY","1,076"
IL,WHITESIDE COUNTY,"IL,WHITESIDE COUNTY","1,076"
GA,WHITFIELD COUNTY,"GA,WHITFIELD COUNTY","1,076"
IN,WHITLEY COUNTY,"IN,WHITLEY COUNTY","1,076"
KY,WHITLEY COUNTY,"KY,WHITLEY COUNTY","1,076"
WA,WHITMAN COUNTY,"WA,WHITMAN COUNTY","1,076"
MD,WICOMICO COUNTY,"MD,WICOMICO COUNTY","1,076"
AL,WILCOX COUNTY,"AL,WILCOX COUNTY","1,076"
GA,WILCOX COUNTY,"GA,WILCOX COUNTY","1,076"
GA,WILKES COUNTY,"GA,WILKES COUNTY","1,076"
MN,WILKIN COUNTY,"MN,WILKIN COUNTY","1,076"
GA,WILKINSON COUNTY,"GA,WILKINSON COUNTY","1,076"
IL,WILL COUNTY,"IL,WILL COUNTY","1,076"
ND,WILLIAMS COUNTY,"ND,WILLIAMS COUNTY","1,076"
IL,WILLIAMSON COUNTY,"IL,WILLIAMSON COUNTY","1,076"
TN,WILLIAMSON COUNTY,"TN,WILLIAMSON COUNTY","1,076"
KS,WILSON COUNTY,"KS,WILSON COUNTY","1,076"
TN,WILSON COUNTY,"TN,WILSON COUNTY","1,076"
CT,WINDHAM COUNTY,"CT,WINDHAM COUNTY","1,076"
VT,WINDHAM COUNTY,"VT,WINDHAM COUNTY","1,076"
VT,WINDSOR COUNTY,"VT,WINDSOR COUNTY","1,076"
IA,WINNEBAGO COUNTY,"IA,WINNEBAGO COUNTY","1,076"
IL,WINNEBAGO COUNTY,"IL,WINNEBAGO COUNTY","1,076"
WI,WINNEBAGO COUNTY,"WI,WINNEBAGO COUNTY","1,076"
IA,WINNESHIEK COUNTY,"IA,WINNESHIEK COUNTY","1,076"
MN,WINONA COUNTY,"MN,WINONA COUNTY","1,076"
AL,WINSTON COUNTY,"AL,WINSTON COUNTY","1,076"
VA,WISE COUNTY,"VA,WISE COUNTY","1,076"
KY,WOLFE COUNTY,"KY,WOLFE COUNTY","1,076"
OH,WOOD COUNTY,"OH,WOOD COUNTY","1,076"
WI,WOOD COUNTY,"WI,WOOD COUNTY","1,076"
IA,WOODBURY COUNTY,"IA,WOODBURY COUNTY","1,076"
IL,WOODFORD COUNTY,"IL,WOODFORD COUNTY","1,076"
KY,WOODFORD COUNTY,"KY,WOODFORD COUNTY","1,076"
OK,WOODS COUNTY,"OK,WOODS COUNTY","1,076"
KS,WOODSON COUNTY,"KS,WOODSON COUNTY","1,076"
OK,WOODWARD COUNTY,"OK,WOODWARD COUNTY","1,076"
MA,WORCESTER COUNTY,"MA,WORCESTER COUNTY","1,076"
GA,WORTH COUNTY,"GA,WORTH COUNTY","1,076"
IA,WORTH COUNTY,"IA,WORTH COUNTY","1,076"
AK,WRANGELL CITY AND BOROUGH,"AK,WRANGELL CITY AND BOROUGH","1,076"
IA,WRIGHT COUNTY,"IA,WRIGHT COUNTY","1,076"
MN,WRIGHT COUNTY,"MN,WRIGHT COUNTY","1,076"
MO,WRIGHT COUNTY,"MO,WRIGHT COUNTY","1,076"
KS,WYANDOTTE COUNTY,"KS,WYANDOTTE COUNTY","1,076"
NY,WYOMING COUNTY,"NY,WYOMING COUNTY","1,076"
WA,YAKIMA COUNTY,"WA,YAKIMA COUNTY","1,076"
AK,YAKUTAT BOROUGH,"AK,YAKUTAT BOROUGH","1,076"
OR,YAMHILL COUNTY,"OR,YAMHILL COUNTY","1,076"
AZ,YAVAPAI COUNTY,"AZ,YAVAPAI COUNTY","1,076"
AR,YELL COUNTY,"AR,YELL COUNTY","1,076"
MN,YELLOW MEDICINE COUNTY,"MN,YELLOW MEDICINE COUNTY","1,076"
MT,YELLOWSTONE COUNTY,"MT,YELLOWSTONE COUNTY","1,076"
ME,YORK COUNTY,"ME,YORK COUNTY","1,076"
PA,YORK COUNTY,"PA,YORK COUNTY","1,076"
SC,YORK COUNTY,"SC,YORK COUNTY","1,076"
AK,YUKON-KOYUKUK CENSUS AREA,"AK,YUKON-KOYUKUK CENSUS AREA","1,076"
AZ,YUMA COUNTY,"AZ,YUMA COUNTY","1,076"
CO,YUMA COUNTY,"CO,YUMA COUNTY","1,076"
ID,ADA COUNTY,"ID, ADA COUNTY","1,076"
ID,ADAMS COUNTY,"ID, ADAMS COUNTY","1,076"
ID,BANNOCK COUNTY,"ID, BANNOCK COUNTY","1,076"
ID,BEAR LAKE COUNTY,"ID, BEAR LAKE COUNTY","1,076"
ID,BENEWAH COUNTY,"ID, BENEWAH COUNTY","1,076"
ID,BINGHAM COUNTY,"ID, BINGHAM COUNTY","1,076"
ID,BLAINE COUNTY,"ID, BLAINE COUNTY","1,076"
ID,BOISE COUNTY,"ID, BOISE COUNTY","1,076"
ID,BONNER COUNTY,"ID, BONNER COUNTY","1,076"
ID,BONNEVILLE COUNTY,"ID, BONNEVILLE COUNTY","1,076"
ID,BOUNDARY COUNTY,"ID, BOUNDARY COUNTY","1,076"
ID,BUTTE COUNTY,"ID, BUTTE COUNTY","1,076"
UT,CACHE COUNTY,"UT, CACHE COUNTY","1,076"
ID,CAMAS COUNTY,"ID, CAMAS COUNTY","1,076"
ID,CANYON COUNTY,"ID, CANYON COUNTY","1,076"
ID,CARIBOU COUNTY,"ID, CARIBOU COUNTY","1,076"
NH,CARROLL COUNTY,"NH, CARROLL COUNTY","1,076"
ID,CASSIA COUNTY,"ID, CASSIA COUNTY","1,076"
ID,CLARK COUNTY,"ID, CLARK COUNTY","1,076"
ID,CLEARWATER COUNTY,"ID, CLEARWATER COUNTY","1,076"
ID,CUSTER COUNTY,"ID, CUSTER COUNTY","1,076"
ID,East Owyhee,"ID, East Owyhee","1,076"
NV,ELKO COUNTY,"NV, ELKO COUNTY","1,076"
ID,ELMORE COUNTY,"ID, ELMORE COUNTY","1,076"
ID,FRANKLIN COUNTY,"ID, FRANKLIN COUNTY","1,076"
ID,FREMONT COUNTY,"ID, FREMONT COUNTY","1,076"
ID,GEM COUNTY,"ID, GEM COUNTY","1,076"
ID,GOODING COUNTY,"ID, GOODING COUNTY","1,076"
ID,IDAHO COUNTY,"ID, IDAHO COUNTY","1,076"
ID,JEFFERSON COUNTY,"ID, JEFFERSON COUNTY","1,076"
ID,JEROME COUNTY,"ID, JEROME COUNTY","1,076"
ID,KOOTENAI COUNTY,"ID, KOOTENAI COUNTY","1,076"
ID,LATAH COUNTY,"ID, LATAH COUNTY","1,076"
ID,LEMHI COUNTY,"ID, LEMHI COUNTY","1,076"
ID,LEWIS COUNTY,"ID, LEWIS COUNTY","1,076"
ID,LINCOLN COUNTY,"ID, LINCOLN COUNTY","1,076"
WY,LINCOLN COUNTY,"WY, LINCOLN COUNTY","1,076"
ID,MADISON COUNTY,"ID, MADISON COUNTY","1,076"
NH,MERRIMACK COUNTY,"NH, MERRIMACK COUNTY","1,076"
ID,MINIDOKA COUNTY,"ID, MINIDOKA COUNTY","1,076"
ID,NEZ PERCE COUNTY,"ID, NEZ PERCE COUNTY","1,076"
ID,ONEIDA COUNTY,"ID, ONEIDA COUNTY","1,076"
ID,OWYHEE COUNTY,"ID, OWYHEE COUNTY","1,076"
ID,PAYETTE COUNTY,"ID, PAYETTE COUNTY","1,076"
ID,POWER COUNTY,"ID, POWER COUNTY","1,076"
ID,SHOSHONE COUNTY,"ID, SHOSHONE COUNTY","1,076"
ID,TETON COUNTY,"ID, TETON COUNTY","1,076"
ID,TWIN FALLS COUNTY,"ID, TWIN FALLS COUNTY","1,076"
ID,VALLEY COUNTY,"ID, VALLEY COUNTY","1,076"
ID,WASHINGTON COUNTY,"ID, WASHINGTON COUNTY","1,076"
ID,West Owyhee,"ID, West Owyhee","1,076"
MI,ALCONA COUNTY,"MI, ALCONA COUNTY","1,076"
MI,ALGER COUNTY,"MI, ALGER COUNTY","1,076"
MI,ALLEGAN COUNTY,"MI, ALLEGAN COUNTY","1,076"
MI,ALPENA COUNTY,"MI, ALPENA COUNTY","1,076"
MI,ANTRIM COUNTY,"MI, ANTRIM COUNTY","1,076"
MI,ARENAC COUNTY,"MI, ARENAC COUNTY","1,076"
MI,BARAGA COUNTY,"MI, BARAGA COUNTY","1,076"
MI,BARRY COUNTY,"MI, BARRY COUNTY","1,076"
MI,BAY COUNTY,"MI, BAY COUNTY","1,076"
MI,BENZIE COUNTY,"MI, BENZIE COUNTY","1,076"
MI,BERRIEN COUNTY,"MI, BERRIEN COUNTY","1,076"
MI,BRANCH COUNTY,"MI, BRANCH COUNTY","1,076"
MI,CALHOUN COUNTY,"MI, CALHOUN COUNTY","1,076"
MI,CASS COUNTY,"MI, CASS COUNTY","1,076"
MI,CHARLEVOIX COUNTY,"MI, CHARLEVOIX COUNTY","1,076"
MI,CHEBOYGAN COUNTY,"MI, CHEBOYGAN COUNTY","1,076"
MI,CHIPPEWA COUNTY,"MI, CHIPPEWA COUNTY","1,076"
MI,CLARE COUNTY,"MI, CLARE COUNTY","1,076"
MI,CLINTON COUNTY,"MI, CLINTON COUNTY","1,076"
IL,COOK COUNTY,"IL, COOK COUNTY","1,076"
MI,CRAWFORD COUNTY,"MI, CRAWFORD COUNTY","1,076"
MI,DELTA COUNTY,"MI, DELTA COUNTY","1,076"
MI,DICKINSON COUNTY,"MI, DICKINSON COUNTY","1,076"
MI,EATON COUNTY,"MI, EATON COUNTY","1,076"
IN,ELKHART COUNTY,"IN, ELKHART COUNTY","1,076"
MI,EMMET COUNTY,"MI, EMMET COUNTY","1,076"
MI,GENESEE COUNTY,"MI, GENESEE COUNTY","1,076"
MI,GLADWIN COUNTY,"MI, GLADWIN COUNTY","1,076"
MI,GOGEBIC COUNTY,"MI, GOGEBIC COUNTY","1,076"
MI,GRAND TRAVERSE COUNTY,"MI, GRAND TRAVERSE COUNTY","1,076"
MI,GRATIOT COUNTY,"MI, GRATIOT COUNTY","1,076"
IN,GREENE COUNTY,"IN, GREENE COUNTY","1,076"
TX,HARRIS COUNTY,"TX, HARRIS COUNTY","1,076"
MI,HILLSDALE COUNTY,"MI, HILLSDALE COUNTY","1,076"
MI,HOUGHTON COUNTY,"MI, HOUGHTON COUNTY","1,076"
MI,HURON COUNTY,"MI, HURON COUNTY","1,076"
OH,HURON COUNTY,"OH, HURON COUNTY","1,076"
MI,INGHAM COUNTY,"MI, INGHAM COUNTY","1,076"
MI,IONIA COUNTY,"MI, IONIA COUNTY","1,076"
MI,IOSCO COUNTY,"MI, IOSCO COUNTY","1,076"
MI,IRON COUNTY,"MI, IRON COUNTY","1,076"
MI,ISABELLA COUNTY,"MI, ISABELLA COUNTY","1,076"
MI,JACKSON COUNTY,"MI, JACKSON COUNTY","1,076"
MI,KALAMAZOO COUNTY,"MI, KALAMAZOO COUNTY","1,076"
MI,KALKASKA COUNTY,"MI, KALKASKA COUNTY","1,076"
MI,KENT COUNTY,"MI, KENT COUNTY","1,076"
MI,KEWEENAW COUNTY,"MI, KEWEENAW COUNTY","1,076"
FL,LAKE COUNTY,"FL, LAKE COUNTY","1,076"
MI,LAKE COUNTY,"MI, LAKE COUNTY","1,076"
MI,LAPEER COUNTY,"MI, LAPEER COUNTY","1,076"
MI,LEELANAU COUNTY,"MI, LEELANAU COUNTY","1,076"
MI,LENAWEE COUNTY,"MI, LENAWEE COUNTY","1,076"
MI,LIVINGSTON COUNTY,"MI, LIVINGSTON COUNTY","1,076"
MI,LUCE COUNTY,"MI, LUCE COUNTY","1,076"
MI,MACKINAC COUNTY,"MI, MACKINAC COUNTY","1,076"
MI,MACOMB COUNTY,"MI, MACOMB COUNTY","1,076"
MI,MANISTEE COUNTY,"MI, MANISTEE COUNTY","1,076"
MI,MARQUETTE COUNTY,"MI, MARQUETTE COUNTY","1,076"
MI,MASON COUNTY,"MI, MASON COUNTY","1,076"
MI,MECOSTA COUNTY,"MI, MECOSTA COUNTY","1,076"
MI,MENOMINEE COUNTY,"MI, MENOMINEE COUNTY","1,076"
MI,MIDLAND COUNTY,"MI, MIDLAND COUNTY","1,076"
MI,MISSAUKEE COUNTY,"MI, MISSAUKEE COUNTY","1,076"
MI,MONROE COUNTY,"MI, MONROE COUNTY","1,076"
MI,MONTCALM COUNTY,"MI, MONTCALM COUNTY","1,076"
MI,MONTMORENCY COUNTY,"MI, MONTMORENCY COUNTY","1,076"
MI,MUSKEGON COUNTY,"MI, MUSKEGON COUNTY","1,076"
MI,NEWAYGO COUNTY,"MI, NEWAYGO COUNTY","1,076"
MI,OAKLAND COUNTY,"MI, OAKLAND COUNTY","1,076"
MI,OCEANA COUNTY,"MI, OCEANA COUNTY","1,076"
MI,OGEMAW COUNTY,"MI, OGEMAW COUNTY","1,076"
MI,ONTONAGON COUNTY,"MI, ONTONAGON COUNTY","1,076"
MI,OSCEOLA COUNTY,"MI, OSCEOLA COUNTY","1,076"
MI,OSCODA COUNTY,"MI, OSCODA COUNTY","1,076"
MI,OTSEGO COUNTY,"MI, OTSEGO COUNTY","1,076"
MI,OTTAWA COUNTY,"MI, OTTAWA COUNTY","1,076"
MI,PRESQUE ISLE COUNTY,"MI, PRESQUE ISLE COUNTY","1,076"
MI,ROSCOMMON COUNTY,"MI, ROSCOMMON COUNTY","1,076"
MI,SAGINAW COUNTY,"MI, SAGINAW COUNTY","1,076"
MI,SANILAC COUNTY,"MI, SANILAC COUNTY","1,076"
MI,SCHOOLCRAFT COUNTY,"MI, SCHOOLCRAFT COUNTY","1,076"
OH,SENECA COUNTY,"OH, SENECA COUNTY","1,076"
MI,SHIAWASSEE COUNTY,"MI, SHIAWASSEE COUNTY","1,076"
MI,ST. CLAIR COUNTY,"MI, ST. CLAIR COUNTY","1,076"
MI,ST. JOSEPH COUNTY,"MI, ST. JOSEPH COUNTY","1,076"
MI,TUSCOLA COUNTY,"MI, TUSCOLA COUNTY","1,076"
MI,VAN BUREN COUNTY,"MI, VAN BUREN COUNTY","1,076"
MI,WASHTENAW COUNTY,"MI, WASHTENAW COUNTY","1,076"
MI,WAYNE COUNTY,"MI, WAYNE COUNTY","1,076"
MI,WEXFORD COUNTY,"MI, WEXFORD COUNTY","1,076"
MO,ADAIR COUNTY,"MO, ADAIR COUNTY","1,076"
MO,ANDREW COUNTY,"MO, ANDREW COUNTY","1,076"
MO,ATCHISON COUNTY,"MO, ATCHISON COUNTY","1,076"
MO,AUDRAIN COUNTY,"MO, AUDRAIN COUNTY","1,076"
MO,BARRY COUNTY,"MO, BARRY COUNTY","1,076"
MO,BARTON COUNTY,"MO, BARTON COUNTY","1,076"
MO,BATES COUNTY,"MO, BATES COUNTY","1,076"
MO,BENTON COUNTY,"MO, BENTON COUNTY","1,076"
MO,BOLLINGER COUNTY,"MO, BOLLINGER COUNTY","1,076"
MO,BOONE COUNTY,"MO, BOONE COUNTY","1,076"
MO,BUCHANAN COUNTY,"MO, BUCHANAN COUNTY","1,076"
MO,BUTLER COUNTY,"MO, BUTLER COUNTY","1,076"
MO,CALDWELL COUNTY,"MO, CALDWELL COUNTY","1,076"
MO,CALLAWAY COUNTY,"MO, CALLAWAY COUNTY","1,076"
MO,CAMDEN COUNTY,"MO, CAMDEN COUNTY","1,076"
MO,CAPE GIRARDEAU COUNTY,"MO, CAPE GIRARDEAU COUNTY","1,076"
MO,CARROLL COUNTY,"MO, CARROLL COUNTY","1,076"
MO,CARTER COUNTY,"MO, CARTER COUNTY","1,076"
MO,CASS COUNTY,"MO, CASS COUNTY","1,076"
MO,CEDAR COUNTY,"MO, CEDAR COUNTY","1,076"
MO,CHARITON COUNTY,"MO, CHARITON COUNTY","1,076"
MO,CHRISTIAN COUNTY,"MO, CHRISTIAN COUNTY","1,076"
MO,CLARK COUNTY,"MO, CLARK COUNTY","1,076"
MO,CLAY COUNTY,"MO, CLAY COUNTY","1,076"
MO,CLINTON COUNTY,"MO, CLINTON COUNTY","1,076"
MO,COLE COUNTY,"MO, COLE COUNTY","1,076"
MO,COOPER COUNTY,"MO, COOPER COUNTY","1,076"
MO,CRAWFORD COUNTY,"MO, CRAWFORD COUNTY","1,076"
MO,DADE COUNTY,"MO, DADE COUNTY","1,076"
MO,DALLAS COUNTY,"MO, DALLAS COUNTY","1,076"
MO,DAVIESS COUNTY,"MO, DAVIESS COUNTY","1,076"
MO,DEKALB COUNTY,"MO, DEKALB COUNTY","1,076"
MO,DENT COUNTY,"MO, DENT COUNTY","1,076"
MO,DOUGLAS COUNTY,"MO, DOUGLAS COUNTY","1,076"
MO,DUNKLIN COUNTY,"MO, DUNKLIN COUNTY","1,076"
MO,FRANKLIN COUNTY,"MO, FRANKLIN COUNTY","1,076"
MO,GASCONADE COUNTY,"MO, GASCONADE COUNTY","1,076"
MO,GENTRY COUNTY,"MO, GENTRY COUNTY","1,076"
MO,GREENE COUNTY,"MO, GREENE COUNTY","1,076"
MO,GRUNDY COUNTY,"MO, GRUNDY COUNTY","1,076"
MO,HARRISON COUNTY,"MO, HARRISON COUNTY","1,076"
MO,HENRY COUNTY,"MO, HENRY COUNTY","1,076"
MO,HICKORY COUNTY,"MO, HICKORY COUNTY","1,076"
MO,HOLT COUNTY,"MO, HOLT COUNTY","1,076"
MO,HOWARD COUNTY,"MO, HOWARD COUNTY","1,076"
MO,HOWELL COUNTY,"MO, HOWELL COUNTY","1,076"
MO,IRON COUNTY,"MO, IRON COUNTY","1,076"
MO,JACKSON COUNTY,"MO, JACKSON COUNTY","1,076"
MO,JASPER COUNTY,"MO, JASPER COUNTY","1,076"
MO,JEFFERSON COUNTY,"MO, JEFFERSON COUNTY","1,076"
MO,JOHNSON COUNTY,"MO, JOHNSON COUNTY","1,076"
MO,KNOX COUNTY,"MO, KNOX COUNTY","1,076"
